orga,category,location,motto,,full tweet,length
84th Combat Sustainment Wing ,military,US,I Accomplish My Course.,"(84th Combat Sustainment Wing, US)","I Accomplish My Course.
(84th Combat Sustainment Wing, US)",58
"Sardar Vallabhbhai National Institute of Technology, Surat",university,India,Charioteer of Science.,"(Sardar Vallabhbhai National Institute of Technology, Surat, India)","Charioteer of Science.
(Sardar Vallabhbhai National Institute of Technology, Surat, India)",90
Boston,cities,U.S.,God be with us as He was with our fathers.,"(Boston, U.S.)","God be with us as He was with our fathers.
(Boston, U.S.)",57
Melbourne,cities,Australia,She acquires strength as she goes.,"(Melbourne, Australia)","She acquires strength as she goes.
(Melbourne, Australia)",57
Mid Sussex,cities,England,The good of the people comes first.,"(Mid Sussex, England)","The good of the people comes first.
(Mid Sussex, England)",57
Tewkesbury Borough,cities,England,There is wisdom in counsel.,"(Tewkesbury Borough, England)","There is wisdom in counsel.
(Tewkesbury Borough, England)",57
Ancient Japan,nation,,Spread the spirit of nurturing rightness.,(Ancient Japan),"Spread the spirit of nurturing rightness.
(Ancient Japan)",57
Confederate States,nation,,"With God, as our defender/protector.",(Confederate States),"With God, as our defender/protector.
(Confederate States)",57
Soviet Union (–),nation,,"Proletarians of all countries, unite!.",(Soviet Union (–)),"Proletarians of all countries, unite!.
(Soviet Union (–))",57
Nova Scotia,nation / Canada state,Canada,One defends and the other conquers.,"(Nova Scotia, Canada)","One defends and the other conquers.
(Nova Scotia, Canada)",57
Huntingdonshire,nation / UK counties,England,By work everything flourishes.,"(Huntingdonshire, England)","By work everything flourishes.
(Huntingdonshire, England)",57
"Yorkshire, East Riding",nation / UK counties,England,Tradition and Progress.,"(Yorkshire, East Riding, England)","Tradition and Progress.
(Yorkshire, East Riding, England)",57
Order of St Michael and St George,order,,Hope of a better age.,(Order of St Michael and St George),"Hope of a better age.
(Order of St Michael and St George)",57
Order of the Star of Romania,order,,In Faith is the Salvation.,(Order of the Star of Romania),"In Faith is the Salvation.
(Order of the Star of Romania)",57
Fédération Internationale des Échecs,sport,,We are one people.,(Fédération Internationale des Échecs),"We are one people.
(Fédération Internationale des Échecs)",57
Soongsil University,university,South Korea,Truth and Service.,"(Soongsil University, South Korea)","Truth and Service.
(Soongsil University, South Korea)",53
Seoul National University,university,,The truth is my light.,(Seoul National University),"The truth is my light.
(Seoul National University)",50
South African Museum,university,,Africa is always producing some novelty.,(South African Museum),"Africa is always producing some novelty.
(South African Museum)",63
Southeast University,university,China,Strive for Perfection.,"(Southeast University, China)","Strive for Perfection.
(Southeast University, China)",52
Southern Illinois University Carbondale,university,US,God Willing.,"(Southern Illinois University Carbondale, US)","God Willing.
(Southern Illinois University Carbondale, US)",58
Southern Methodist University,university,US,The truth will make you free.,"(Southern Methodist University, US)","The truth will make you free.
(Southern Methodist University, US)",65
Southwestern University,university,US,Not who but what.,"(Southwestern University, US)","Not who but what.
(Southwestern University, US)",47
Sri Venkateswara University,university,India,Wisdom lies in proper perspective.,"(Sri Venkateswara University, India)","Wisdom lies in proper perspective.
(Sri Venkateswara University, India)",71
St Albans School,university,UK,Born not for ourselves alone.,"(St Albans School, UK)","Born not for ourselves alone.
(St Albans School, UK)",52
Shih Chien University,university,Taiwan,Knowledge is the beginning of practice. Doing is the completion of knowing.,"(Shih Chien University, Taiwan)","Knowledge is the beginning of practice. Doing is the completion of knowing.
(Shih Chien University, Taiwan)",107
St Dominic's Chishawasha,university,Zimbabwe,Truth.,"(St Dominic's Chishawasha, Zimbabwe)","Truth.
(St Dominic's Chishawasha, Zimbabwe)",43
"St Dunstan's College, Catford",university,UK,Adorn the white.,"(St Dunstan's College, Catford, UK)","Adorn the white.
(St Dunstan's College, Catford, UK)",52
"St Edward's Roman Catholic/Church of England School, Poole",university,UK,Learning together.,"(St Edward's Roman Catholic/Church of England School, Poole, UK)","Learning together.
(St Edward's Roman Catholic/Church of England School, Poole, UK)",83
"St George's College, Harare",university,Zimbabwe,From faith comes confidence.,"(St George's College, Harare, Zimbabwe)","From faith comes confidence.
(St George's College, Harare, Zimbabwe)",68
"St Hugh's School, Woodhall Spa",university,UK,By striving.,"(St Hugh's School, Woodhall Spa, UK)","By striving.
(St Hugh's School, Woodhall Spa, UK)",49
"St James' School, Grimsby Doctrinæ fons pietas ",university,UK,From learning springs piety.,"(St James' School, Grimsby Doctrinæ fons pietas, UK)","From learning springs piety.
(St James' School, Grimsby Doctrinæ fons pietas, UK)",81
"St Joseph's College, Nainital",university,India,Fight the good fight.,"(St Joseph's College, Nainital, India)","Fight the good fight.
(St Joseph's College, Nainital, India)",60
"St Paul's School, London",university,UK,By faith and by learning.,"(St Paul's School, London, UK)","By faith and by learning.
(St Paul's School, London, UK)",56
"St Peter's School, York",university,UK,Upon the ancient tracks.,"(St Peter's School, York, UK)","Upon the ancient tracks.
(St Peter's School, York, UK)",54
St. Augustine's College (Raleigh),university,US,The truth will set you free.,"(St. Augustine's College (Raleigh), US)","The truth will set you free.
(St. Augustine's College (Raleigh), US)",68
"St. Bartholomew's School, Newbury, Berkshire",university,UK,Towards the light.,"(St. Bartholomew's School, Newbury, Berkshire, UK)","Towards the light.
(St. Bartholomew's School, Newbury, Berkshire, UK)",69
St. Bernard's High School,university,Zimbabwe,Prayer and hard work lead to success.,"(St. Bernard's High School, Zimbabwe)","Prayer and hard work lead to success.
(St. Bernard's High School, Zimbabwe)",75
St. Bonaventure University,university,US,In Holiness and Learning.,"(St. Bonaventure University, US)","In Holiness and Learning.
(St. Bonaventure University, US)",58
St. Francis Xavier University,university,Canada,Whatsoever things are true.,"(St. Francis Xavier University, Canada)","Whatsoever things are true.
(St. Francis Xavier University, Canada)",67
St. George's Grammar School ,university,India,Perseverance Conquers All Things.,"(St. George's Grammar School, India)","Perseverance Conquers All Things.
(St. George's Grammar School, India)",70
St. Ignatius College,university,Zimbabwe,To set the world on fire.,"(St. Ignatius College, Zimbabwe)","To set the world on fire.
(St. Ignatius College, Zimbabwe)",58
St. John's College,university,Zimbabwe,The Lord is our shepherd.,"(St. John's College, Zimbabwe)","The Lord is our shepherd.
(St. John's College, Zimbabwe)",56
"St. John's College, Cambridge",university,UK,I often remember.,"(St. John's College, Cambridge, UK)","I often remember.
(St. John's College, Cambridge, UK)",53
St. John's High School,university,Zimbabwe,Truth.,"(St. John's High School, Zimbabwe)","Truth.
(St. John's High School, Zimbabwe)",41
St. John's University (New York City),university,US,A Christian Education Perfects the Soul.,"(St. John's University (New York City), US)","A Christian Education Perfects the Soul.
(St. John's University (New York City), US)",84
St. Mary's High School ,university,Canada,With mind and hand.,"(St. Mary's High School, Canada)","With mind and hand.
(St. Mary's High School, Canada)",52
"St. Mary's University College, Calgary",university,Canada,In Thy light shall we see light.,"(St. Mary's University College, Calgary, Canada)","In Thy light shall we see light.
(St. Mary's University College, Calgary, Canada)",81
St. Petersburg State University,university,Russia,Here we stay in peace.,"(St. Petersburg State University, Russia)","Here we stay in peace.
(St. Petersburg State University, Russia)",64
25th Tactical Reconnaissance Wing ,military,US,Guard With Power.,"(25th Tactical Reconnaissance Wing, US)","Guard With Power.
(25th Tactical Reconnaissance Wing, US)",57
"36th Brigade, 50th Armored Division ",military,US,I'll Lead You.,"(36th Brigade, 50th Armored Division, US)","I'll Lead You.
(36th Brigade, 50th Armored Division, US)",56
Silliman University,university,Philippines,"The Way, The Truth, The Life.","(Silliman University, Philippines)","The Way, The Truth, The Life.
(Silliman University, Philippines)",64
89th Airlift Wing ,military,US,Trust One Who Has Had Experience.,"(89th Airlift Wing, US)","Trust One Who Has Had Experience.
(89th Airlift Wing, US)",57
Newcastle-upon-Tyne,cities,England,Triumph by brave defence.,"(Newcastle-upon-Tyne, England)","Triumph by brave defence.
(Newcastle-upon-Tyne, England)",56
Newtownabbey,cities,Northern Ireland,Multi in uno resurgent.,"(Newtownabbey, Northern Ireland)","Multi in uno resurgent.
(Newtownabbey, Northern Ireland)",56
"Richmond, Virginia",cities,U.S.,Such is the way to the Stars.,"(Richmond, Virginia, U.S.)","Such is the way to the Stars.
(Richmond, Virginia, U.S.)",56
South Buckinghamshire,cities,England,By counsel and courage.,"(South Buckinghamshire, England)","By counsel and courage.
(South Buckinghamshire, England)",56
Southend-on-Sea,cities,England,By the sea and by the church.,"(Southend-on-Sea, England)","By the sea and by the church.
(Southend-on-Sea, England)",56
Democratic Republic of the Congo,nation,,"Justice, Peace, Work.",(Democratic Republic of the Congo),"Justice, Peace, Work.
(Democratic Republic of the Congo)",56
Isle of Man,nation,,"Whithersoever you throw it, it will stand.",(Isle of Man),"Whithersoever you throw it, it will stand.
(Isle of Man)",56
West Indies Federation (–),nation,,To dwell together in unity.,(West Indies Federation (–)),"To dwell together in unity.
(West Indies Federation (–))",56
Zanzibar,nation,,Zanzibar for Africa — Zanzibar for the world.,(Zanzibar),"Zanzibar for Africa — Zanzibar for the world.
(Zanzibar)",56
Cambridgeshire,nation / UK counties,England,"Through waves, through fields.","(Cambridgeshire, England)","Through waves, through fields.
(Cambridgeshire, England)",56
Orkney,nation / UK counties,Scotland,"Home to the winds, friend of the sea.","(Orkney, Scotland)","Home to the winds, friend of the sea.
(Orkney, Scotland)",56
Los Angeles Police Department,public police/service,,To Protect and to Serve.,(Los Angeles Police Department),"To Protect and to Serve.
(Los Angeles Police Department)",56
"St. Stephen's College, Delhi",university,India,To the Glory of God.,"(St. Stephen's College, Delhi, India)","To the Glory of God.
(St. Stephen's College, Delhi, India)",58
St. Thomas University,university,Canada,Teach me Goodness and Knowledge and Discipline.,"(St. Thomas University, Canada)","Teach me Goodness and Knowledge and Discipline.
(St. Thomas University, Canada)",79
"St. Xavier's College, Kolkata",university,India,Nothing Beyond.,"(St. Xavier's College, Kolkata, India)","Nothing Beyond.
(St. Xavier's College, Kolkata, India)",54
St.Joseph's Pre University College,university,India,Fide Et Labore - Faith And Toil.,"(St.Joseph's Pre University College, India)","Fide Et Labore - Faith And Toil.
(St.Joseph's Pre University College, India)",76
Staffordshire University,university,UK,Create the difference.,"(Staffordshire University, UK)","Create the difference.
(Staffordshire University, UK)",53
Stamford School,university,UK,Christ be with me.,"(Stamford School, UK)","Christ be with me.
(Stamford School, UK)",40
Stanford University,university,US,The wind of freedom blows.,"(Stanford University, US)","The wind of freedom blows.
(Stanford University, US)",52
State University of New York,university,US,"To learn, to search, to serve.","(State University of New York, US)","To learn, to search, to serve.
(State University of New York, US)",65
Sookmyung Women's University,university,South Korea,"Modesty, Wisdom, and Justice.","(Sookmyung Women's University, South Korea)","Modesty, Wisdom, and Justice.
(Sookmyung Women's University, South Korea)",73
Stellenbosch University,university,South Africa,Sound learning strengthens the spirit.,"(Stellenbosch University, South Africa)","Sound learning strengthens the spirit.
(Stellenbosch University, South Africa)",78
Stetson University,university,US,For God and Truth.,"(Stetson University, US)","For God and Truth.
(Stetson University, US)",43
Stevens Institute of Technology,university,US,Through adversity to the stars.,"(Stevens Institute of Technology, US)","Through adversity to the stars.
(Stevens Institute of Technology, US)",69
Stockport Grammar School,university,UK,"He who endures, conquers.","(Stockport Grammar School, UK)","He who endures, conquers.
(Stockport Grammar School, UK)",56
Southampton Solent University,university,UK,Spark Your Imagination.,"(Southampton Solent University, UK)","Spark Your Imagination.
(Southampton Solent University, UK)",59
Stonehill College,university,US,Light and Hope.,"(Stonehill College, US)","Light and Hope.
(Stonehill College, US)",39
Sun Yat-sen University,university,China,"Study Extensively, Enquire Accurately, Reflect Carefully, Discriminate Clearly, Practise Earnestly.","(Sun Yat-sen University, China)","Study Extensively, Enquire Accurately, Reflect Carefully, Discriminate Clearly, Practise Earnestly.
(Sun Yat-sen University, China)",131
Sungkyunkwan University,university,South Korea,Pursue Truth and Embody Social Justice the Analects of Confucius.,"(Sungkyunkwan University, South Korea)","Pursue Truth and Embody Social Justice the Analects of Confucius.
(Sungkyunkwan University, South Korea)",104
Supélec,university,France,Science in action.,"(Supélec, France)","Science in action.
(Supélec, France)",36
Swansea University,university,UK,Technical skill is bereft without culture.,"(Swansea University, UK)","Technical skill is bereft without culture.
(Swansea University, UK)",67
Swedish Academy,university,,Talent and taste.,(Swedish Academy),"Talent and taste.
(Swedish Academy)",35
Sweet Briar College,university,US,She who earns the rose may bear it.,"(Sweet Briar College, US)","She who earns the rose may bear it.
(Sweet Briar College, US)",61
Swinburne University of Technology,university,Australia,Achievement through learning.,"(Swinburne University of Technology, Australia)","Achievement through learning.
(Swinburne University of Technology, Australia)",77
Synge Street CBS,university,Ireland,Viriliter Age.,"(Synge Street CBS, Ireland)","Viriliter Age.
(Synge Street CBS, Ireland)",42
Syracuse University,university,US,Knowledge crowns those who seek her.,"(Syracuse University, US)","Knowledge crowns those who seek her.
(Syracuse University, US)",62
"T.Raza High School Ahmad Raza Nagar, KurKuri ",university,India,We Lead The Way.,"(T.Raza High School Ahmad Raza Nagar, KurKuri, India)","We Lead The Way.
(T.Raza High School Ahmad Raza Nagar, KurKuri, India)",70
St. John Fisher College,university,US,"Teach me goodness, discipline, and knowledge.","(St. John Fisher College, US)","Teach me goodness, discipline, and knowledge.
(St. John Fisher College, US)",75
Taipei Medical University,university,Taiwan,Honesty.,"(Taipei Medical University, Taiwan)","Honesty.
(Taipei Medical University, Taiwan)",44
Tamkang University,university,Taiwan,"Simplicity, Truthfulness, Firmness, Perseverance.","(Tamkang University, Taiwan)","Simplicity, Truthfulness, Firmness, Perseverance.
(Tamkang University, Taiwan)",78
Tanjong Katong Girls' School,university,Singapore,Demure & Resolute.,"(Tanjong Katong Girls' School, Singapore)","Demure & Resolute.
(Tanjong Katong Girls' School, Singapore)",60
Technical University of Cluj-Napoca,university,Romania,The paradox of engineering: It puts the theory into practice.,"(Technical University of Cluj-Napoca, Romania)","The paradox of engineering: It puts the theory into practice.
(Technical University of Cluj-Napoca, Romania)",108
Technische Universität Dresden,university,Germany,Knowledge builds bridges.,"(Technische Universität Dresden, Germany)","Knowledge builds bridges.
(Technische Universität Dresden, Germany)",67
Technische Universität München,university,Germany,"At home in Bavaria, successful in the world. The entrepreneurial University.","(Technische Universität München, Germany)","At home in Bavaria, successful in the world. The entrepreneurial University.
(Technische Universität München, Germany)",118
Temple University,university,US,Perseverance Conquers.,"(Temple University, US)","Perseverance Conquers.
(Temple University, US)",46
State University – Higher School of Economics,university,Russia,"We do not learn for the school, but for life.","(State University – Higher School of Economics, Russia)","We do not learn for the school, but for life.
(State University – Higher School of Economics, Russia)",101
Texas Southern University,university,US,Excellence in Achievement.,"(Texas Southern University, US)","Excellence in Achievement.
(Texas Southern University, US)",58
Texas Tech University,university,US,"From here, it's possible.","(Texas Tech University, US)","From here, it's possible.
(Texas Tech University, US)",53
Thammasat University,university,Thailand,"Be the finest, be the fairness, be the main engine of society.","(Thammasat University, Thailand)","Be the finest, be the fairness, be the main engine of society.
(Thammasat University, Thailand)",95
The Catholic University of America,university,US,God Is My Light.,"(The Catholic University of America, US)","God Is My Light.
(The Catholic University of America, US)",57
101st Airborne Division Artillery ,military,US,From the Clouds.,"(101st Airborne Division Artillery, US)","From the Clouds.
(101st Airborne Division Artillery, US)",56
10th Tactical Reconnaissance Wing ,military,US,Ceaseless Watch.,"(10th Tactical Reconnaissance Wing, US)","Ceaseless Watch.
(10th Tactical Reconnaissance Wing, US)",56
Sultan Zainal Abidin University,university,Malaysia,Knowledge for the Benefit of Humanity.,"(Sultan Zainal Abidin University, Malaysia)","Knowledge for the Benefit of Humanity.
(Sultan Zainal Abidin University, Malaysia)",82
27th Special Operations Wing ,military,US,Intelligent Strength.,"(27th Special Operations Wing, US)","Intelligent Strength.
(27th Special Operations Wing, US)",56
Taylor's University College,university,Malaysia,"Wisdom, Integrity, Excellence.","(Taylor's University College, Malaysia)","Wisdom, Integrity, Excellence.
(Taylor's University College, Malaysia)",70
548th Artillery Group ,military,US,Reliable and Relentlessness.,"(548th Artillery Group, US)","Reliable and Relentlessness.
(548th Artillery Group, US)",56
67th Adjutant General Battalion ,military,US,Prepared and Able.,"(67th Adjutant General Battalion, US)","Prepared and Able.
(67th Adjutant General Battalion, US)",56
6th Adjutant General Battalion ,military,US,Train Defend Serve.,"(6th Adjutant General Battalion, US)","Train Defend Serve.
(6th Adjutant General Battalion, US)",56
"Aviation Brigade, 101st Airborne ",military,US,Wings of Destiny.,"(Aviation Brigade, 101st Airborne, US)","Wings of Destiny.
(Aviation Brigade, 101st Airborne, US)",56
Gdynia,cities,Europe,Gdynia—a city built of sea and dreams.,"(Gdynia, Europe)","Gdynia—a city built of sea and dreams.
(Gdynia, Europe)",55
Lisburn,cities,Northern Ireland,I will arise from the fire.,"(Lisburn, Northern Ireland)","I will arise from the fire.
(Lisburn, Northern Ireland)",55
Waltham Abbey,cities,England,By the name of the Holy Cross.,"(Waltham Abbey, England)","By the name of the Holy Cross.
(Waltham Abbey, England)",55
Accenture,company,,"High Performance, Delivered.",(Accenture),"High Performance, Delivered.
(Accenture)",40
Antigua and Barbuda,nation,,"Each endeavouring, all achieving.",(Antigua and Barbuda),"Each endeavouring, all achieving.
(Antigua and Barbuda)",55
Federated States of Micronesia,nation,,"Peace, Unity, Liberty.",(Federated States of Micronesia),"Peace, Unity, Liberty.
(Federated States of Micronesia)",55
Northamptonshire,nation / UK counties,England,The Rose—Emblem of Harmony.,"(Northamptonshire, England)","The Rose—Emblem of Harmony.
(Northamptonshire, England)",55
Perth,nation / UK counties,Scotland,"For the King, the Law and the People.","(Perth, Scotland)","For the King, the Law and the People.
(Perth, Scotland)",55
Zetland,nation / UK counties,Scotland,With laws shall this land be built.,"(Zetland, Scotland)","With laws shall this land be built.
(Zetland, Scotland)",55
Order of the Thistle,order,,No-one injures me with impunity.,(Order of the Thistle),"No-one injures me with impunity.
(Order of the Thistle)",55
Chelsea Football Club,sport,,Keep The Blue Flag Flying High.,(Chelsea Football Club),"Keep The Blue Flag Flying High.
(Chelsea Football Club)",55
Colo Colo,sport,,The team that had known to become champion.,(Colo Colo),"The team that had known to become champion.
(Colo Colo)",55
North Melbourne Football Club,sport,,Victory loves the care.,(North Melbourne Football Club),"Victory loves the care.
(North Melbourne Football Club)",55
"The Chafford School, Rainham, London",university,UK,Achievement for all through the pursuit of excellence.,"(The Chafford School, Rainham, London, UK)","Achievement for all through the pursuit of excellence.
(The Chafford School, Rainham, London, UK)",97
The Cheltenham Ladies' College,university,UK,May she grow in heavenly light.,"(The Cheltenham Ladies' College, UK)","May she grow in heavenly light.
(The Cheltenham Ladies' College, UK)",68
The Chinese University of Hong Kong,university,Hong Kong,Through learning and temperance to virtue.,"(The Chinese University of Hong Kong, Hong Kong)","Through learning and temperance to virtue.
(The Chinese University of Hong Kong, Hong Kong)",91
"The Downs School, Malvern",university,UK,It is in the building.,"(The Downs School, Malvern, UK)","It is in the building.
(The Downs School, Malvern, UK)",54
"The Elms School, Malvern",university,UK,God grant grace.,"(The Elms School, Malvern, UK)","God grant grace.
(The Elms School, Malvern, UK)",47
The Evergreen State College,university,US,Let It All Hang Out.,"(The Evergreen State College, US)","Let It All Hang Out.
(The Evergreen State College, US)",54
The Florida State University,university,US,"Strength, Skill, Character.","(The Florida State University, US)","Strength, Skill, Character.
(The Florida State University, US)",62
The Glasgow Academy,university,UK,Keep the faith.,"(The Glasgow Academy, UK)","Keep the faith.
(The Glasgow Academy, UK)",41
The Heritage School,university,Zimbabwe,Aim high.,"(The Heritage School, Zimbabwe)","Aim high.
(The Heritage School, Zimbabwe)",41
The John Lyon School,university,UK,Let fortune of the House stand.,"(The John Lyon School, UK)","Let fortune of the House stand.
(The John Lyon School, UK)",58
"The King's School, Grantham",university,UK,Shame upon him who thinks evil upon it / Evil to he who evil thinks.,"(The King's School, Grantham, UK)","Shame upon him who thinks evil upon it / Evil to he who evil thinks.
(The King's School, Grantham, UK)",102
Texas Woman's University,university,US,Knowledge Brings Light to Life.,"(Texas Woman's University, US)","Knowledge Brings Light to Life.
(Texas Woman's University, US)",62
"The King's School, Ottery St Mary",university,UK,The King's School of Ottery.,"(The King's School, Ottery St Mary, UK)","The King's School of Ottery.
(The King's School, Ottery St Mary, UK)",68
The Maharaja Sayajirao University of Baroda,university,India,"Truth, auspiciousness, beauty.","(The Maharaja Sayajirao University of Baroda, India)","Truth, auspiciousness, beauty.
(The Maharaja Sayajirao University of Baroda, India)",83
The Ohio State University,university,US,Education for citizenship.,"(The Ohio State University, US)","Education for citizenship.
(The Ohio State University, US)",58
"The Robert Gordon University, Aberdeen",university,UK,Now by all your mastered arts.,"(The Robert Gordon University, Aberdeen, UK)","Now by all your mastered arts.
(The Robert Gordon University, Aberdeen, UK)",75
The University of Hong Kong,university,Hong Kong,Wisdom and virtue/To disseminate virtue and to investigate the way of things.,"(The University of Hong Kong, Hong Kong)","Wisdom and virtue/To disseminate virtue and to investigate the way of things.
(The University of Hong Kong, Hong Kong)",118
The University of Melbourne,university,Australia,"We grow in the esteem of future generations. (I will grow in praise afterwards.) - Horace, Odes, l. III..","(The University of Melbourne, Australia)","We grow in the esteem of future generations. (I will grow in praise afterwards.) - Horace, Odes, l. III..
(The University of Melbourne, Australia)",146
The University of Notre Dame Australia,university,Australia,In the beginning was the Word. John :.,"(The University of Notre Dame Australia, Australia)","In the beginning was the Word. John :.
(The University of Notre Dame Australia, Australia)",90
The College of The Bahamas,university,Bahamas,"Knowledge, Truth, Integrity.","(The College of The Bahamas, Bahamas)","Knowledge, Truth, Integrity.
(The College of The Bahamas, Bahamas)",66
"The Prebendal School, Chichester",university,UK,The fount of knowledge is the word of God.,"(The Prebendal School, Chichester, UK)","The fount of knowledge is the word of God.
(The Prebendal School, Chichester, UK)",81
The University of the South,university,US,"Behold, how good and joyful a thing it is, for brethren to dwell together in unity!.","(The University of the South, US)","Behold, how good and joyful a thing it is, for brethren to dwell together in unity!.
(The University of the South, US)",118
Thetford Grammar School,university,UK,Loyalty binds me.,"(Thetford Grammar School, UK)","Loyalty binds me.
(Thetford Grammar School, UK)",47
Thomas Rotherham College,university,UK,Lest We Should Appear Ungrateful.,"(Thomas Rotherham College, UK)","Lest We Should Appear Ungrateful.
(Thomas Rotherham College, UK)",64
Thornhill High School,university,Zimbabwe,Through the thorns to the hilltop.,"(Thornhill High School, Zimbabwe)","Through the thorns to the hilltop.
(Thornhill High School, Zimbabwe)",68
Tianjin University,university,China,Seeking Truth from Facts.,"(Tianjin University, China)","Seeking Truth from Facts.
(Tianjin University, China)",53
Tianjin University of Technology,university,China,"Focusing on Morals and Capability, Pursuing Truth and Innovation.","(Tianjin University of Technology, China)","Focusing on Morals and Capability, Pursuing Truth and Innovation.
(Tianjin University of Technology, China)",107
Tilburg University,university,The Netherlands,Understanding Society.,"(Tilburg University, The Netherlands)","Understanding Society.
(Tilburg University, The Netherlands)",60
Tilka Manjhi Bhagalpur University,university,India,Lead us from Darkness to Light.,"(Tilka Manjhi Bhagalpur University, India)","Lead us from Darkness to Light.
(Tilka Manjhi Bhagalpur University, India)",74
Toko University,university,Taiwan,"Science and technology, intelligence, creativity, honor.","(Toko University, Taiwan)","Science and technology, intelligence, creativity, honor.
(Toko University, Taiwan)",82
12th Flying Training Wing ,military,US,The Spirt Conquers All.,"(12th Flying Training Wing, US)","The Spirt Conquers All.
(12th Flying Training Wing, US)",55
321st Field Artillery Regiment ,military,US,Don't Tread on Me.,"(321st Field Artillery Regiment, US)","Don't Tread on Me.
(321st Field Artillery Regiment, US)",55
42d Adjutant General Battalion ,military,US,Start the Soldier.,"(42d Adjutant General Battalion, US)","Start the Soldier.
(42d Adjutant General Battalion, US)",55
Thompson Rivers University,university,Canada,To strive ahead.,"(Thompson Rivers University, Canada)","To strive ahead.
(Thompson Rivers University, Canada)",53
479th Field Artillery Brigade ,military,US,Dependable Support.,"(479th Field Artillery Brigade, US)","Dependable Support.
(479th Field Artillery Brigade, US)",55
Tulane University,university,US,"Not for one's self, but for one's own.","(Tulane University, US)","Not for one's self, but for one's own.
(Tulane University, US)",62
Ukrainian Catholic University,university,Ukraine,Know Thyself.,"(Ukrainian Catholic University, Ukraine)","Know Thyself.
(Ukrainian Catholic University, Ukraine)",54
Missouri Army National Guard ,military,US,Protectors of Peace.,"(Missouri Army National Guard, US)","Protectors of Peace.
(Missouri Army National Guard, US)",55
Vermont National Guard ,military,US,Put the Vermonters Ahead.,"(Vermont National Guard, US)","Put the Vermonters Ahead.
(Vermont National Guard, US)",54
Ballymoney,cities,Northern Ireland,Goodwill to all People.,"(Ballymoney, Northern Ireland)","Goodwill to all People.
(Ballymoney, Northern Ireland)",54
Amsterdam,cities,Europe,"Valiant, Steadfast, Compassionate.","(Amsterdam, Europe)","Valiant, Steadfast, Compassionate.
(Amsterdam, Europe)",54
Irvine,cities,Scotland,The good cause triumphs in the end.,"(Irvine, Scotland)","The good cause triumphs in the end.
(Irvine, Scotland)",54
Limavady,cities,Northern Ireland,Let there be no ill-will.,"(Limavady, Northern Ireland)","Let there be no ill-will.
(Limavady, Northern Ireland)",54
Mablethorpe,cities,England,Our shores are more delightful.,"(Mablethorpe, England)","Our shores are more delightful.
(Mablethorpe, England)",54
Merthyr Tydfil,cities,Wales,No strength but in fellowship.,"(Merthyr Tydfil, Wales)","No strength but in fellowship.
(Merthyr Tydfil, Wales)",54
"Nancy, France",cities,Europe,I'm not touched with impunity.,"(Nancy, France, Europe)","I'm not touched with impunity.
(Nancy, France, Europe)",54
Tower Hamlets,cities,England,From Great Things to Greater.,"(Tower Hamlets, England)","From Great Things to Greater.
(Tower Hamlets, England)",54
Windsor and Maidenhead,cities,England,"In unity, happiness.","(Windsor and Maidenhead, England)","In unity, happiness.
(Windsor and Maidenhead, England)",54
Madeira,nation,,"Of the Islands, the Most Beautiful and Free.",(Madeira),"Of the Islands, the Most Beautiful and Free.
(Madeira)",54
Nepal,nation,,Mother and motherland are greater than heaven.,(Nepal),"Mother and motherland are greater than heaven.
(Nepal)",54
Wallachia (–),nation,,Wallachia united for God and freedom!.,(Wallachia (–)),"Wallachia united for God and freedom!.
(Wallachia (–))",54
Order of the White Eagle ,order,,For Fatherland and Nation.,(Order of the White Eagle ),"For Fatherland and Nation.
(Order of the White Eagle )",54
Kolkata Knight Riders,sport,,"Will do, will fight, will win.",(Kolkata Knight Riders),"Will do, will fight, will win.
(Kolkata Knight Riders)",54
Llanelli Wanderers RFC,sport,,Friendship through wandering.,(Llanelli Wanderers RFC),"Friendship through wandering.
(Llanelli Wanderers RFC)",54
Tolins World School ,university,India,Ever To Be The Best.,"(Tolins World School, India)","Ever To Be The Best.
(Tolins World School, India)",49
Tongji University,university,China,"Discipline, Practicality, Unity and Creativity.","(Tongji University, China)","Discipline, Practicality, Unity and Creativity.
(Tongji University, China)",74
Touro University,university,US,"To Serve, To Lead, To Teach.","(Touro University, US)","To Serve, To Lead, To Teach.
(Touro University, US)",51
Trent University,university,Canada,Now I know in part.,"(Trent University, Canada)","Now I know in part.
(Trent University, Canada)",46
"Trinity College, Cambridge",university,UK,Virtue is the true nobility.,"(Trinity College, Cambridge, UK)","Virtue is the true nobility.
(Trinity College, Cambridge, UK)",61
"Trinity Grammar School, Victoria",university,Australia,Act manfully.,"(Trinity Grammar School, Victoria, Australia)","Act manfully.
(Trinity Grammar School, Victoria, Australia)",59
"Trinity School, Croydon",university,UK,"He who endures, conquers.","(Trinity School, Croydon, UK)","He who endures, conquers.
(Trinity School, Croydon, UK)",55
Trinity Western University,university,Canada,A Mighty Fortress Is Our God.,"(Trinity Western University, Canada)","A Mighty Fortress Is Our God.
(Trinity Western University, Canada)",66
Tsinghua University,university,China,Self-Discipline and Social Commitment.,"(Tsinghua University, China)","Self-Discipline and Social Commitment.
(Tsinghua University, China)",67
Tufts University,university,US,Peace and light.,"(Tufts University, US)","Peace and light.
(Tufts University, US)",39
